,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
5044,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,5,white
5021,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8,white
5769,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,7,white
379,11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,red
6295,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7,white
5620,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4,white
1058,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,red
429,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,red
2528,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5,white
3589,7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7,white
1934,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,white
4278,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,white
1031,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,red
3280,7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5,white
3165,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6,white
4066,7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5,white
1875,6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,white
86,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,red
1573,7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5,red
1779,6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,white
6353,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6,white
2074,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6,white
577,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,red
5762,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,white
2106,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5,white
2801,7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,white
5639,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,white
2270,7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6,white
3441,7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,white
3995,7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,white
1913,5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,white
3974,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,white
3839,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6,white
2824,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,white
655,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5,red
1395,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,red
1855,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8,white
5436,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,white
6396,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,white
6216,7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,5,white
146,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,red
290,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,red
5959,7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,6,white
828,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,red
4456,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,white
5418,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,white
1340,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
4742,7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,6,white
122,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,red
2627,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4,white
5183,7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,6,white
3652,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,white
5502,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6,white
1967,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6,white
1061,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,red
248,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5,red
3197,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,white
347,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,red
4659,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,white
721,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,red
4555,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5,white
5557,7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5,white
1524,6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5,red
374,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,red
2608,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7,white
2596,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,white
151,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,red
2717,8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5,white
5772,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6,white
787,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,red
1454,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,red
4651,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,white
3571,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7,white
5239,6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6,white
2066,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6,white
3532,9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6,white
1596,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,red
3120,8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6,white
5906,6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,6,white
4777,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,white
1686,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,white
441,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,red
603,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,red
319,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,red
1976,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,white
1724,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,white
5840,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,white
349,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,red
5289,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8,white
3342,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6,white
1555,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,red
2123,5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6,white
4245,6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,7,white
282,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,red
4043,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5,white
2245,6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5,white
3022,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5,white
1137,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,red
3769,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,white
2765,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,white
3112,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7,white
5108,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5,white
4722,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6,white
5128,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4,white
1021,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,red
5426,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,white
6147,5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6,white
5223,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6,white
2691,7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,white
3071,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,white
4349,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,white
6069,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6,white
990,9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,red
2211,7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6,white
2925,7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7,white
4888,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6,white
5795,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,8,white
550,9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6,red
316,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,red
1159,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,red
4353,5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8,white
1141,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6,red
4735,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6,white
660,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,red
1839,6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,white
153,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,red
3047,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,white
5796,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6,white
3097,6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7,white
6375,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,6,white
2496,6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,white
1294,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,red
1328,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
5204,7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6,white
5647,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,white
3350,7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6,white
1800,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,white
5925,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,white
6163,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7,white
6313,6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6,white
2380,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,white
766,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6,red
2406,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,white
2922,5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,6,white
3761,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7,white
4684,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,white
4780,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,white
4260,6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,white
3276,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,white
5172,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6,white
6378,5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6,white
4276,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6,white
6296,6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6,white
4694,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,white
892,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,red
821,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,red
999,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6,red
3764,8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,5,white
208,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,red
3519,7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,6,white
3655,7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6,white
2013,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,white
5199,6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6,white
4923,7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6,white
3327,7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6,white
2156,8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5,white
353,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,red
221,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,red
3173,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5,white
528,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,red
3227,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,white
6444,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6,white
4403,5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8,white
1148,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,red
2631,6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6,white
5550,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,white
3889,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7,white
1311,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,red
756,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,red
3088,6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6,white
3341,7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6,white
3851,7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7,white
5048,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,7,white
1135,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,red
1522,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,red
2952,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6,white
3849,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,white
5055,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,white
3972,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4,white
1865,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,white
1652,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,white
1541,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6,red
1467,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,red
1469,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,red
4224,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5,white
6065,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,white
4028,7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,white
5878,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4,white
1134,7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,red
1464,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6,red
1144,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6,red
5864,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6,white
310,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,red
2519,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7,white
2021,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,white
5571,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,white
4511,6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5,white
4995,6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5,white
1937,5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6,white
2798,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,white
4186,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,white
5822,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,white
5283,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,white
2942,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6,white
1106,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,red
2574,7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6,white
937,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,red
2240,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,white
1531,6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6,red
1812,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,white
3806,8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6,white
3753,7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6,white
2163,7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,7,white
1791,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,white
6139,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5,white
3108,6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6,white
2500,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,white
2288,7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,white
4501,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,white
768,7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,red
1993,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,white
1905,7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,white
4718,5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7,white
3490,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,white
3745,7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6,white
3114,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,white
3069,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5,white
6167,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,white
1636,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,white
5570,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7,white
6421,7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6,white
627,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,red
4843,6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7,white
1685,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,white
5323,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,7,white
4713,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6,white
2541,6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6,white
4776,7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,white
3749,6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,white
96,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,red
3870,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7,white
3915,7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6,white
1208,9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,red
57,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,red
1666,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,white
4969,7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,7,white
3816,7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5,white
4915,5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7,white
5492,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5,white
1241,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,red
1237,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,red
2215,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,white
2492,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,white
2081,5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6,white
3993,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6,white
1393,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,red
5297,6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6,white
3471,7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,6,white
661,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,red
5601,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5,white
1466,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,red
2045,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,white
4069,6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5,white
4087,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6,white
4405,7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6,white
4746,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,white
2138,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,white
4959,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6,white
2928,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,white
799,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,red
2545,6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,white
1170,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,red
902,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,red
936,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,red
54,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,red
2743,7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5,white
3084,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3,white
2100,7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6,white
4465,5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6,white
5393,6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,6,white
5908,6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,6,white
5214,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,white
2048,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,white
2447,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,white
2498,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6,white
1942,6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,white
